agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,Scaffold Safety,2,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Scaffold Safety,4,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Scaffold Safety,21,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,1,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,2,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,3,10,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,4,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,5,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,6,15,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,7,29,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,8,31,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,9,25,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,10,10,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,11,8,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,12,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,13,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,14,11,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,15,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,16,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,17,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,18,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,20,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,21,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,22,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,23,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,24,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,27,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,28,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,31,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,32,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,33,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,34,2,12,2017-05-29T22:38:45.331470
